addr:street,amenity,building,healthcare,name,opening_hours,lon,lat,addr:city,website,addr:country,addr:province,building:levels,healthcare:speciality,historic,owner,source,wikidata,alt_name,shop,contact:phone,contact:website,postal_code,healthcare:for,description,gnis:feature_id,image,note,operator,operator:type,source:date,source_ref,brand,brand:wikidata,ele,height,name:tli,dispensing,operator:wikidata,operator:wikipedia,addr:unit,amenity_1,healthcare:counselling,wikipedia,office,health_facility_type,health_person:type,old_name,fax,contact:facebook,contact:instagram,email,start_date,payment:cash,payment:credit_cards,payment:debit_cards,landuse,addr:housename,wheelchair,addr:full,level,urgent_care,name:en,health_facility,drive_through,payment:apple_pay,contact:twitter,not:brand:wikidata,check_date:opening_hours,payment:american_express,payment:cheque,payment:discover_card,payment:mastercard,payment:visa,brand:website,short_name,branch,facebook,check_date,fixme,operator:short
,doctors,yes,doctor,Lamendola Sitenga Clinic,,-151.5079374,59.6535986,,,,,,,,,survey,,,optician,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pennock Street,clinic,office,physiotherapist,Homer Physical Therapy,Mo-Fr 09:00-18:00,-151.518943,59.6499611,Homer,,,,,physiatry,,,,,,,+1 907-235-3410,homerphysicaltherapy.com,99603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,centre,Homer Medical Center,"Mo-Fr 08:30-17:00, Sa 10:00-17:00",-151.5495249,59.6499858,,https://www.homermedical.org/index.htm,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Street,clinic,office,clinic,Women Infants Children (WIC),,-151.5438807,59.6401717,Homer,,US,Kenai Peninsula Borough,,paediatrics,,,Bing,,,,,,,child;women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Adak Hospital & Clinic,,-176.6383368,51.873266,,,,,2,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,,Kachemak Professional Building,,-151.550774,59.6510325,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,,Clinic,,-156.8814541,66.9074238,,,,,,,,,DCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Rockmore King Clinic,,-152.5032262,57.7414468,,https://www.dcms.uscg.mil/Our-Organization/Director-of-Operational-Logistics-DOL/Bases/Base-Kodiak/Departments-Staffs/Rockmore-King-Clinic/,,,,,,,https://www.facebook.com/uscoastguardbasekodiak/photos/a.653414968054654/1724877354241738/?type=3&theater,,N46,,,,,,"Named in memoriam for a USPHS Flight Surgeon, CDR David M. Rockmore and HS3 Ralph D. King, USCG who tragically perished with four other Coast Guardsmen on 02 November 1986, while respoding to an urgent MEDEVAC in the village of Akhiok.",2700646,https://www.facebook.com/uscoastguardbasekodiak/photos/a.653414968054654/1685694861493321/?type=3&theater,Not historically significant,U.S. Coast Guard,military,31-01-2018,https://catalog.archives.gov/id/75325308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nigliq Street,clinic,yes,clinic,North Slope Borough Village Health Clinic - Nuiqsut,,-151.0002937,70.2155013,Nuiqsut,http://www.north-slope.org/departments/health-social-services/community-health-services/community-health-aide-program-chap,,,,,,,,,,,,,,,,,,,North Slope Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,,Shungnak Clinic,,-157.1389395,66.8879649,,,,,,,,,DCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,,Health Clinic,,-157.8564524,67.0869612,,,,,,,,,DCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,public,clinic,Noorvik Clinic,,-161.0422165,66.8352372,,,,,,,,,DCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,public,clinic,New Noorvik Clinic,,-161.0465588,66.8299791,,,,,,,,,DCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,USFS/ Public Health Clinic,,-139.7293242,59.5450094,,,,,,,,,DCRA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Cove Road,clinic,yes,clinic,Sand Point Clinic,,-160.4859176,55.3475459,Sand Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,yes,pharmacy,Walgreens,,-151.0561705,60.4856244,,,,,,,,,Bing,,,,,,,,,,,,,,,,Walgreens,Q1591889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongass Drive,hospital,hospital,hospital,Mt. Edgecumbe Hospital,,-135.355111,57.0516902,Sitka,https://searhc.org/service/mt-edgecumbe-hospital-saxt-hit/,,,,,,,,,,,,,,,,,,,SouthEast Alaska Regional Health Consortium,,,,,,18,9.2,S’áxt’ Hít,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,retail,pharmacy,Walgreens,,-149.4070744,61.577402,,,,,1,,,,EsriWorldImagery,,,,,,,,,,,,,,,,Walgreens,Q1591889,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zapadni Road,clinic,yes,clinic,St. George Clinic,,-169.5483277,56.6012645,,,,,,,,,,,,,,,,,,,,,APIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,IRA Building,,-168.9521473,65.7573505,Diomede,,,,1,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,doctor,Juneau Urgent Care,,-134.5728725,58.3619595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Road,doctors,yes,naturopath,Frontier Natural Health,,-151.5177589,59.6510244,Homer,,,,,,,,,,,,,,,,,,,,Dr. Patrick C. Huffman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Evergreen Avenue,clinic,yes,clinic,Mat Su Urgent Care,,-149.1170021,61.6001123,Palmer,,,,,,,,esri/USA_NAD_Addresses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,hospital,hospital,Alaska Heart Institute,,-149.2561634,61.5629261,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,hospital,hospital,Providence Health & Services Alaska,,-149.2518829,61.5596919,,,,,2,,,,,,Providence Matanuska Health Care,,,,,,,,,,Providence Health & Services,,,,,,,,,,Q7252430,en:Providence Health & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Imaging Associates of Providence,,-149.2533469,61.5598808,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Woodworth Loop,hospital,,hospital,Mat-Su Regional Medical Center,,-149.2579536,61.5627757,Palmer,https://www.matsuregional.com/,,,,,,,,Q6785802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sadler Way,clinic,yes,clinic,Steese Immediate Care,Mo-Fr 8:30-17:00; Sa 10:00-15:00,-147.6802765,64.8548351,Fairbanks,https://www.steeseimmediatecare.com/,,,,,,,,,,,-3748817,,,,,,,,,,,,,,,,,,,,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Cowles Street,clinic,yes,clinic,Chief Andrew Isaac Health Center,Mo-Fr 08:00-17:00,-147.7462342,64.8322528,Fairbanks,https://www.tananachiefs.org/services/health/chief-andrew-isaac-health-center/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,,Juneau Family Birth Center,,-134.4657685,58.3318565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,midwife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,,SEARHC,,-134.4671501,58.3312605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,doctor,SERHC,,-134.4692311,58.329731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,counselling,Planned Parenthood,,-134.4727866,58.3302742,,,,,,,,,,,,,,,,,,,,,Planned Parenthood,,,,,,,,,,Q2553262,,,,antenatal;sexual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hospital Drive,hospital,,hospital,Bartlett Regional Hospital,,-134.4649065,58.3291017,Juneau,https://www.bartletthospital.org/,,,,,,,,Q20712149,,,,,,,,,,,,,,,,,,,,,,,,,,en:Bartlett Regional Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,office,doctor,"Dr. Rene Alvarez, General Surgeon",,-151.5435767,59.6497155,,,,,,,,,Bing;survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Peninsula Allergy & Asthma Center,,-151.0704605,60.481965,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-131.624342,55.3336297,,,,,,,,,,,,,,,,,,,https://www.facebook.com/USCoastGuardBaseKetchikan/photos/a.1321832891166130/2557122997637107/?type=3&theater,Street level imagery shows road sign at intersection of Stedman St. and Upper Coast Guard Base Access giving directions to this building. Name of Coast Guard Base Ketchikan website.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,SEARHC Health Clinic,,-133.9424599,56.9752378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,yes,pharmacy,,,-131.6924384,55.3559949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greg Kruschek Avenue,hospital,,hospital,Norton Sound Regional Hospital,,-165.3783294,64.4989394,Nome,https://www.nortonsoundhealth.org/Locations/Norton-Sound-Regional-Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Providence Drive,hospital,,hospital,Providence Alaska Medical Center,24-Jul,-149.8200356,61.1871232,Anchorage,https://alaska.providence.org/locations/p/pamc,,,,,,,,Q7252388,,,,,,,,,,,,,,,,,,,,,,,,,,en:Providence Alaska Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Debarr Road,hospital,,hospital,Alaska Regional Hospital,,-149.8307617,61.2102248,Anchorage,https://alaskaregional.com/,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,,,,-134.4674796,58.3298538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,,,,-134.4677896,58.3295366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-134.4649914,58.3309747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Atka Medical Clinic,,-174.1978573,52.2006793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-149.3697476,61.5862972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Cornerstone Health Alaska,,-149.8422303,61.1380119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,,Health Clinic,,-163.0122489,69.7410331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qalgi Avenue,clinic,yes,clinic,Point Hope Health Clinic,,-166.7363244,68.3482553,Point Hope,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,yes,,,,-157.4239735,70.4817231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-168.859824,52.9384958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uula Street,hospital,,hospital,Samuel Simmonds Memorial Hospital,24-Jul,-156.7296258,71.2973925,Utkiagvik,https://www.arcticslope.org/services/hospital-services/,,,,,,,,,,,,,,,,,,,Arctic Slope Native Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Fireweed Street,clinic,office,clinic,"Advanced Biomechanics, Inc.",,-151.080292,60.4918293,Soldotna,https://akbiomech.com/,,,,,,,personal_knowledge,,,,,,99669,,,,,,Eric O'Guinn,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Homer Birth & Wellness Center,,-151.5420119,59.646851,,,,,,,,Sarah Robertson,geolocated photo;survey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,midwife,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tongass Avenue,hospital,yes,hospital,Peace Health Ketchikan Medical Ceneter,,-131.6869084,55.3535059,Ketchikan,,,,,,,,Employee,,,,,,,,,,,,PeaceHealth,,,,,,,,,,Q16966652,en:PeaceHealth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Anna Livingston Medical Clinic,,-162.718147,55.2010383,,,,,1,,,,,,,,,,,,,,,,Eastern Aleutian Tribes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,yes,pharmacy,Walgreens,,-149.7393349,61.2092421,,,,,,,,,,,,,,,,,,,,,,,,,Walgreens,Q1591889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,hospital,hospital,North Star Behavorial Hospital,,-149.8335677,61.2078072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industry Way,doctors,,doctor,Primary Care Associates,"08:00-21:00; PH ""Call ahead""",-149.8625692,61.1091108,Anchorage,https://www.primarycareak.com/centers/south-anchorage.html,US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bartlett Street,hospital,,hospital,South Peninsula Hospital,24-Jul,-151.5500971,59.6523767,Homer,https://www.sphosp.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Avenue,hospital,,hospital,Cordova Community Medical Center,24-Jul,-145.7512387,60.540944,Cordova,https://www.cdvcmc.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Katherine Miksruaq Olanna Memorial Clinic,,-166.0700993,66.2548525,,,,,,,,,,,,,,,,,,,,,Norton Sound Health Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue,hospital,,hospital,Providence Seward Medical Center,24-Jul,-149.4462618,60.1052786,Seward,https://alaska.providence.org/locations/p/psmcc,,,,,,,,,,,,,,,,,,,Providence Health & Services,,,,,,,,,,Q7252430,en:Providence Health & Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kanakanak Road,hospital,,hospital,Kanakanak Hospital,24-Jul,-158.5363291,59.0004725,Dillingham,http://www.bbahc.org/,,,,,,,,,,,,,,,,,,,Bristol Bay Area Health Corporation,,,,,,,,,,,,,,,,,,,Ans Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Akhiok Health Clinic,Mo-Fr 08:00-16:30,-154.1741991,56.9454303,,https://kodiakhealthcare.org/,,,,,,,,,,,,,,,,,,,Kodiak Area Native Association,,,,,,,,,,,,,,,,,,,,-3966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Knik Goose Bay Road,clinic,yes,clinic,Mat-Su Urgent Care,,-149.6254235,61.5151873,Wasilla,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,Joint Base Elmendorf-Richardson Hospital,,-149.7449722,61.2349473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,Alaska Native Medical Center Health Campus,,-149.8007464,61.1826756,,,,,,,,,,,,,+1 907-729-1729,,,,,,,,Alaska Native Medical Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remington Road,clinic,commercial,clinic,Family Medical Center,Mo-Th 08:00-17:00; Fr 08:00-12:00,-145.7309977,64.0553161,Delta Junction,https://www.fmcak.com/,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pages/Family-Med-Center/181383371892667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Spruce Avenue,clinic,public,,Mat-Su Health Services Medical Clinic,"Mo-Fr 07:00-17:00, Sa-Su closed",-149.485685,61.6013735,Wasilla,https://www.mshsak.org/,,,,,,,EsriWorldImagery;esri_USDOT_MatanuskaSusitnaAK,,,,,,,,,,,,Mat-Su Health Services Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-134.6172977,58.3722821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,,,-134.4709459,58.3297762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Hughes Clinic,,-154.2554933,66.0439394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Frank Tobuk Sr. Clinic,,-151.5055322,66.9244423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Alatna Clinic & Washeteria,,-152.7013514,66.5545195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Allakaket Clinic,,-152.645301,66.5467697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,office,clinic,Anaktuvuk Pass Health Clinic,,-151.7331954,68.1426882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Second Street,clinic,hospital,clinic,Ilanka Community Health Center,,-145.757481,60.5426725,Cordova,http://nveyak.com/ilanka-community-health-center/,,,,,,,,,,,+1 907 4243622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Bragaw Street,hospital,,hospital,Chris Kyle Patriots Hospital,,-149.8094269,61.2056383,Anchorage,https://chriskylepatriotshospital.com/,,,,psychiatry,,,,,,,,,,,,,,,North Star Behavioral Health System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,North Star Palmer Residential Treatment Center,,-149.0677145,61.623972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,clinic,Wasilla Medical Clinic,,-149.4086638,61.5755684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,clinic,yes,,Clinic,,-164.039705,59.9343852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1st Avenue,doctors,yes,,Haines Health Center,"Mo,Tu,Th,Fr 08:00-17:00; We 10:00-17:00",-135.4446561,59.2333833,Haines,https://searhc.org/location/haines/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,doctors,yes,doctor,Thomas P. Senter M.D. Dermatology,,-149.8815553,61.2157564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eagle Street,doctors,yes,doctor,"Natural Health Center, LLC",M: 8:00-17:00 | T: 8:00-17:00 | W: 8:00-17:00 | Th: 8:00-17:00 | F: 8:00-17:00 | Sat: 9:00-15:00 | Sun: closed,-149.8744914,61.189802,Anchorage,https://www.nhcak.com,,,,,,,,,,,,,,,,,,,Sy Cloud,,,,,,,,,,,,,,,,,,,,-2749,NaturalHealthCenterLLC,naturalhealthcenterllc,nhc@gci.net,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,pharmacy,yes,pharmacy,Walgreens,,-149.8688345,61.1961495,,,,,,,,,,,,,,,,,,,,,,,,,Walgreens,Q1591889,,,,,,,,,,,,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,
,hospital,,hospital,Providence Extended Stay,,-149.7750269,61.2118126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
